caseID,test,criterion,ref_foc
2,145,2.17,a_reference
10,93,3.62,a_reference
11,102,2.83,b_focal
16,96,1.92,a_reference
21,90,2.8,a_reference
28,101,2.48,b_focal
41,96,2.5,b_focal
45,80,1.59,b_focal
49,111,2.37,b_focal
53,87,2.66,b_focal
56,116,3.44,b_focal
60,77,2.97,a_reference
63,90,2.53,b_focal
65,83,2.38,a_reference
70,104,2.36,a_reference
79,87,2.44,a_reference
102,82,2.5,b_focal
103,103,2.52,b_focal
105,99,2.96,a_reference
107,108,3.56,b_focal
108,99,3.14,a_reference
109,123,3.44,b_focal
110,105,3,b_focal
114,102,2.75,b_focal
116,92,2.49,a_reference
117,98,2.24,a_reference
121,101,2.48,a_reference
122,92,2.3,a_reference
127,103,3.08,b_focal
128,110,3.43,b_focal
132,112,3.44,a_reference
133,118,3.21,a_reference
134,112,3.36,a_reference
136,106,3.55,b_focal
138,106,2.04,a_reference
139,108,3.62,b_focal
144,113,2.38,a_reference
145,94,2.32,a_reference
147,94,1.69,b_focal
148,83,2.58,b_focal
149,75,2.39,b_focal
150,88,2,a_reference
151,84,2.24,b_focal
152,85,2.2,a_reference
156,124,3.6,a_reference
157,87,3.74,b_focal
158,89,3.86,a_reference
161,74,2.56,a_reference
168,82,2.46,a_reference
169,113,3.17,b_focal
170,116,3.2,b_focal
171,99,3.29,b_focal
174,93,2.92,a_reference
176,124,3.39,a_reference
179,110,3.7,b_focal
181,128,3.7,b_focal
182,113,3.63,b_focal
184,99,2.65,a_reference
187,105,2.87,a_reference
189,96,2.85,b_focal
191,104,2.68,a_reference
199,105,3.01,a_reference
201,115,3.2,b_focal
202,103,2.88,a_reference
203,104,3.56,b_focal
206,94,2.98,a_reference
208,117,3.59,b_focal
209,87,1.95,a_reference
210,87,1.58,a_reference
213,108,3.46,b_focal
214,94,3.13,b_focal
218,85,2.22,a_reference
219,106,3.49,a_reference
220,106,2.43,a_reference
221,92,2.96,b_focal
224,85,3.03,b_focal
228,90,2.56,a_reference
229,115,3.77,b_focal
230,94,3.02,a_reference
234,85,2.64,b_focal
241,92,3.36,b_focal
242,83,3.03,a_reference
243,93,2.53,b_focal
244,99,2.21,a_reference
245,97,3.31,b_focal
247,113,3.32,a_reference
248,110,3.13,b_focal
251,113,2.99,a_reference
252,88,2.96,b_focal
254,103,3.28,a_reference
258,98,2.87,a_reference
261,84,2.29,a_reference
263,104,3,a_reference
265,87,2.64,a_reference
268,85,2.61,a_reference
